imd_storm_id,serial,name,year,basin,start_time,end_time,duration_hours,n_obs,n_imd_obs,n_scorpio_obs,peak_wind_kt,min_pressure_hpa,peak_dvorak_ci,peak_grade,provenance
1989-010,10.0,,1989,BOB,1989-11-16 12:00:00,1989-11-20 03:00:00,87.0,8,8,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1990-001,1.0,,1990,BOB,1990-05-04 06:00:00,1990-05-10 12:00:00,150.0,26,26,0,127.0,920.0,6.5,SuCS,RSMC_New_Delhi_Best_Track
1990-009,1.0,,1990,ARB,1990-11-16 06:00:00,1990-11-18 00:00:00,42.0,8,8,0,33.0,1007.0,2.0,DD,RSMC_New_Delhi_Best_Track
1990-002,2.0,,1990,BOB,1990-06-13 12:00:00,1990-06-15 06:00:00,42.0,8,8,0,33.0,990.0,2.0,DD,RSMC_New_Delhi_Best_Track
1990-003,3.0,,1990,BOB,1990-08-14 12:00:00,1990-08-17 00:00:00,60.0,11,11,0,27.0,993.0,1.5,D,RSMC_New_Delhi_Best_Track
1990-004,4.0,,1990,BOB,1990-08-20 06:00:00,1990-08-24 12:00:00,102.0,18,18,0,27.0,986.0,1.5,D,RSMC_New_Delhi_Best_Track
1990-005,5.0,,1990,BOB,1990-09-03 06:00:00,1990-09-04 18:00:00,36.0,7,7,0,27.0,995.0,1.5,D,RSMC_New_Delhi_Best_Track
1990-006,6.0,,1990,BOB,1990-10-06 18:00:00,1990-10-08 12:00:00,42.0,8,8,0,33.0,998.0,2.0,DD,RSMC_New_Delhi_Best_Track
1990-007,7.0,,1990,BOB,1990-10-31 12:00:00,1990-11-04 06:00:00,90.0,16,16,0,33.0,1001.0,2.0,DD,RSMC_New_Delhi_Best_Track
1990-008,8.0,,1990,BOB,1990-11-14 00:00:00,1990-11-14 18:00:00,18.0,4,4,0,27.0,1008.0,1.5,D,RSMC_New_Delhi_Best_Track
1990-010,9.0,,1990,BOB,1990-12-14 12:00:00,1990-12-18 12:00:00,96.0,17,17,0,55.0,,3.5,SCS,RSMC_New_Delhi_Best_Track
1991-001,1.0,,1991,BOB,1991-04-24 12:00:00,1991-04-30 00:00:00,132.0,23,23,0,127.0,918.0,6.5,SuCS,RSMC_New_Delhi_Best_Track
1991-002,2.0,,1991,BOB,1991-05-31 06:00:00,1991-06-02 06:00:00,48.0,9,9,0,45.0,990.0,3.0,CS,RSMC_New_Delhi_Best_Track
1991-003,3.0,,1991,BOB,1991-07-27 06:00:00,1991-07-31 18:00:00,108.0,19,19,0,30.0,984.0,2.0,DD,RSMC_New_Delhi_Best_Track
1991-004,4.0,,1991,BOB,1991-08-22 00:00:00,1991-08-26 00:00:00,96.0,17,17,0,25.0,992.0,1.5,D,RSMC_New_Delhi_Best_Track
1991-005,5.0,,1991,BOB,1991-09-21 06:00:00,1991-09-22 06:00:00,24.0,5,5,0,25.0,1000.0,1.5,D,RSMC_New_Delhi_Best_Track
1991-006,6.0,,1991,BOB,1991-10-12 12:00:00,1991-10-14 00:00:00,36.0,7,7,0,25.0,998.0,1.5,D,RSMC_New_Delhi_Best_Track
1991-007,7.0,,1991,BOB,1991-10-28 06:00:00,1991-10-30 06:00:00,48.0,9,9,0,25.0,998.0,1.5,D,RSMC_New_Delhi_Best_Track
1991-008,8.0,,1991,BOB,1991-11-11 12:00:00,1991-11-15 12:00:00,96.0,17,17,0,45.0,998.0,3.0,CS,RSMC_New_Delhi_Best_Track
1992-001,1.0,,1992,BOB,1992-05-16 06:00:00,1992-05-19 12:00:00,78.0,14,14,0,35.0,992.0,2.5,CS,RSMC_New_Delhi_Best_Track
1992-002,1.0,,1992,ARB,1992-06-08 12:00:00,1992-06-12 12:00:00,96.0,17,17,0,45.0,994.0,3.0,CS,RSMC_New_Delhi_Best_Track
1992-003,2.0,,1992,BOB,1992-06-17 00:00:00,1992-06-20 12:00:00,84.0,15,15,0,30.0,980.0,2.0,DD,RSMC_New_Delhi_Best_Track
1992-005,2.0,,1992,ARB,1992-10-01 00:00:00,1992-10-03 12:00:00,60.0,11,11,0,45.0,996.0,3.0,CS,RSMC_New_Delhi_Best_Track
1992-004,3.0,,1992,BOB,1992-07-26 00:00:00,1992-07-30 12:00:00,108.0,19,19,0,30.0,984.0,2.0,DD,RSMC_New_Delhi_Best_Track
1992-011,3.0,,1992,ARB,1992-01-12 00:00:00,1992-02-12 00:00:00,744.0,5,5,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1992-006,4.0,,1992,BOB,1992-07-10 00:00:00,1992-09-10 06:00:00,1494.0,10,10,0,30.0,998.0,2.0,DD,RSMC_New_Delhi_Best_Track
1992-012,4.0,,1992,ARB,1992-12-21 00:00:00,1992-12-24 12:00:00,84.0,15,15,0,30.0,1002.0,2.0,DD,RSMC_New_Delhi_Best_Track
1992-007,5.0,,1992,BOB,1992-10-20 12:00:00,1992-10-22 00:00:00,36.0,7,7,0,35.0,996.0,2.5,CS,RSMC_New_Delhi_Best_Track
1992-008,6.0,,1992,BOB,1992-11-03 06:00:00,1992-11-07 00:00:00,90.0,16,16,0,45.0,996.0,3.0,CS,RSMC_New_Delhi_Best_Track
1992-009,7.0,,1992,BOB,1992-11-11 06:00:00,1992-11-17 06:00:00,144.0,25,25,0,55.0,994.0,3.5,SCS,RSMC_New_Delhi_Best_Track
1992-010,8.0,,1992,BOB,1992-11-16 06:00:00,1992-11-21 12:00:00,126.0,22,22,0,102.0,952.0,5.5,ESCS,RSMC_New_Delhi_Best_Track
1993-001,1.0,,1993,ARB,1993-11-12 03:00:00,1993-11-15 18:00:00,87.0,19,19,0,65.0,986.0,4.0,VSCS,RSMC_New_Delhi_Best_Track
1993-003,1.0,,1993,BOB,1993-12-01 06:00:00,1993-12-04 12:00:00,78.0,17,17,0,90.0,968.0,5.0,ESCS,RSMC_New_Delhi_Best_Track
1993-002,2.0,,1993,ARB,1993-11-08 03:00:00,1993-11-09 18:00:00,39.0,9,9,0,25.0,998.0,1.5,D,RSMC_New_Delhi_Best_Track
1993-004,2.0,,1993,BOB,1993-12-19 00:00:00,1993-12-20 09:00:00,33.0,9,9,0,30.0,1006.0,1.5,DD,RSMC_New_Delhi_Best_Track
1994-001,1.0,,1994,BOB,1994-03-21 12:00:00,1994-03-24 06:00:00,66.0,12,12,0,25.0,,1.5,,RSMC_New_Delhi_Best_Track
1994-003,1.0,,1994,ARB,1994-06-05 18:00:00,1994-06-09 06:00:00,84.0,19,19,0,55.0,980.0,3.5,SCS,RSMC_New_Delhi_Best_Track
1994-002,2.0,,1994,BOB,1994-04-29 00:00:00,1994-05-02 15:00:00,87.0,20,20,0,115.0,940.0,6.0,ESCS,RSMC_New_Delhi_Best_Track
1994-005,2.0,,1994,ARB,1994-11-15 03:00:00,1994-11-20 03:00:00,120.0,26,26,0,65.0,984.0,4.0,VSCS,RSMC_New_Delhi_Best_Track
1994-004,3.0,,1994,BOB,1994-10-29 03:00:00,1994-10-31 18:00:00,63.0,14,14,0,60.0,988.0,3.5,SCS,RSMC_New_Delhi_Best_Track
1995-001,1.0,,1995,BOB,1995-05-05 21:00:00,1995-05-06 18:00:00,21.0,7,7,0,30.0,996.0,2.0,DD,RSMC_New_Delhi_Best_Track
1995-002,2.0,,1995,BOB,1995-05-08 09:00:00,1995-05-10 09:00:00,48.0,13,13,0,30.0,996.0,2.0,DD,RSMC_New_Delhi_Best_Track
1995-003,3.0,,1995,BOB,1995-05-14 18:00:00,1995-05-18 00:00:00,78.0,17,17,0,30.0,996.0,2.0,DD,RSMC_New_Delhi_Best_Track
1995-004,4.0,,1995,BOB,1995-09-16 03:00:00,1995-09-17 12:00:00,33.0,8,8,0,25.0,998.0,1.5,D,RSMC_New_Delhi_Best_Track
1995-005,5.0,,1995,BOB,1995-09-26 03:00:00,1995-09-28 03:00:00,48.0,11,11,0,25.0,1000.0,1.5,D,RSMC_New_Delhi_Best_Track
1995-006,6.0,,1995,ARB,1995-10-12 12:00:00,1995-10-17 12:00:00,120.0,26,26,0,45.0,996.0,3.0,CS,RSMC_New_Delhi_Best_Track
1995-007,7.0,,1995,BOB,1995-11-07 03:00:00,1995-11-10 09:00:00,78.0,18,18,0,77.0,978.0,4.5,VSCS,RSMC_New_Delhi_Best_Track
1995-008,8.0,,1995,BOB,1995-11-21 12:00:00,1995-11-25 09:00:00,93.0,21,21,0,102.0,956.0,5.5,ESCS,RSMC_New_Delhi_Best_Track
1996-001,1.0,,1996,BOB,1996-05-07 03:00:00,1996-05-08 00:00:00,21.0,5,5,0,30.0,1000.0,2.0,DD,RSMC_New_Delhi_Best_Track
1996-002,2.0,,1996,BOB,1996-06-12 12:00:00,1996-06-16 06:00:00,90.0,20,20,0,45.0,992.0,3.0,CS,RSMC_New_Delhi_Best_Track
